"Name","Row","Action"
"Hoshi","2121","Delete"
"Hoshiko","2120","Delete"
"Hossana","2105","Delete"
"Huguette","1458","Delete"
"humaira","1110","Delete"
"Hyacinth","1569","Delete"
"Hypatia","1753","Delete"
"Ianthe","2050","Delete"
"Icie","1948","Delete"
"Ida","1344","Delete"
"Ida","1692","Delete"
"Idalia","1693","Delete"
"Idella","2069","Delete"
"Idina","1934","Delete"
"Idoia","1924","Delete"
"Idonea","2058","Delete"
"Idril","1930","Delete"
"Idyllia","2051","Delete"
"Ifeoma","1942","Delete"
"Iggy","2072","Delete"
"Igraine","1939","Delete"
"Ildikó","2071","Delete"
"Ilenia","1946","Delete"
"Iliana","890","Delete"
"Iliyana","1712","Delete"
"Ilonka","1709","Delete"
"Ilsa","1304","Delete"
"ilyana","1112","Delete"
"Imani","523","Delete"
"Imogen","1689","Delete"
"Impi","2057","Delete"
"Imriska","1928","Delete"
"Indara","1937","Delete"
"Indiana","1699","Delete"
"Indie","1687","Delete"
"Indra","1943","Delete"
"Inez","1700","Delete"
"Ingeborg","1926","Delete"
"Inger","2062","Delete"
"Ingrid","1688","Delete"
"Inmaculada","1935","Delete"
"Inola","2059","Delete"
"Invidia","2060","Delete"
"Iolanka","1945","Delete"
"Iolanthe","1923","Delete"
"Iona","1335","Delete"
"Iphigenia","2063","Delete"
"Ippolita","2068","Delete"
"Iracema","1932","Delete"
"Iraida","1690","Delete"
"Irati","1705","Delete"
"Irene","2047","Delete"
"Iria","1933","Delete"
"Iridian","1708","Delete"
"Iris","2048","Delete"
"Iris","127","Delete"
"Irmentrud","1947","Delete"
"Irmhild","1696","Delete"
"Irminia","1944","Delete"
"Iro","2037","Delete"
"Isabel","157","Delete"
"Isabel","1707","Delete"
"Isabela","830","Delete"
"Isabeline","2065","Delete"
"Isabella","7","Delete"
"Isabella","1239","Delete"
"Isabella","1017","Delete"
"Isabelle","121","Delete"
"Isadora","2053","Delete"
"Isadora","1363","Delete"
"iselyn","1115","Delete"
"Isla","2054","Delete"
"Isla","1228","Delete"
"Ismini","2038","Delete"
"Isobel","1040","Delete"
"Itzel","565","Delete"
"Itzel","1253","Delete"
"Iva","1936","Delete"
"Ivana","2064","Delete"
"Ivanka","2055","Delete"
"Ivanna","596","Delete"
"Ivelisse","1938","Delete"
"Ivory","1695","Delete"
"Ivy","58","Delete"
"Ivy","1206","Delete"
"Iyla","910","Delete"
"Izabella","341","Delete"
"Izendra","1701","Delete"
"Izumi","2070","Delete"
"izza","1117","Delete"
"Izzy","1703","Delete"
"Jacinta","1589","Delete"
"Jacqueline","1055","Delete"
"Jacqueline","442","Delete"
"Jade","1351","Delete"
"Jaliyah","530","Delete"
"Jamie","710","Delete"
"Jane","265","Delete"
"Jane","1207","Delete"
"Jasmine","1424","Delete"
"Jayla","301","Delete"
"Jaylah","732","Delete"
"Jaylee","925","Delete"
"Jayleen","549","Delete"
"Jazlyn","547","Delete"
"Jazmin","637","Delete"
"Jazmine","778","Delete"
"Jean","1392","Delete"
"Jemima","1041","Delete"
"Jemima","1064","Delete"
"Jemma","583","Delete"
"Jenesis","926","Delete"
"Jenna","548","Delete"
"Jessica","399","Delete"
"Jessie","716","Delete"
"Jezebel","1389","Delete"
"Jillian","1370","Delete"
"Jillian","961","Delete"
"Jimena","1232","Delete"
"Jimson","1549","Delete"
"Joanie","1301","Delete"
"Joanna","258","Delete"
"Jocelyn","1357","Delete"
"joelle","1136","Delete"
"Joelle","765","Delete"
"Johanna","644","Delete"
"Jolene","474","Delete"
"Jolie","720","Delete"
"Jonquil","1577","Delete"
"Jordan","435","Delete"
"Josefina","1226","Delete"
"Josephine","1042","Delete"
"Josephine","1327","Delete"
"Josephine","86","Delete"
"Josie","134","Delete"
"Journey","298","Delete"
"Journey","1354","Delete"
"Journi","705","Delete"
"Jovie","922","Delete"
"Joyce","983","Delete"
"Judith","903","Delete"
"Julia","107","Delete"
"Julie","614","Delete"
"Juliet","306","Delete"
"Juliet","1208","Delete"
"Juliette","180","Delete"
"June","1315","Delete"
